項次,點名,高程(M),標準誤差(CM)
No,Name,Elevation(m),Std. (cm)
1,C010,5.25500,.000,
2,E053,3.85725,.056,
3,E054,3.91753,.113,
4,E055,4.63088,.155,
5,V8,4.45634,.220,
6,E057,3.88928,.207,
7,E056,4.60397,.185,
8,N091,3.97953,.191,
9,N092,3.98277,.211,
10,N093,4.02308,.226,
11,ST5,4.21221,.230,
12,N09,4.61082,.237,
13,K10,4.83610,.248,
14,K11,4.83783,.248,
15,K12,4.83661,.249,
16,K9,4.83672,.249,
17,K8,4.83488,.249,
18,K7,4.83462,.250,
19,K15,4.83491,.251,
20,K16,4.83351,.250,
21,K17,4.83498,.249,
22,K14,4.83468,.250,
23,K6,4.83342,.251,
24,K5,4.83593,.251,
25,K4,4.83454,.250,
26,K3,4.83486,.252,
27,K2,4.83600,.251,
28,K1,4.83522,.252,
29,K20,4.83736,.252,
30,K19,4.83579,.251,
31,K18,4.83561,.250,
32,K21,4.84089,.256,
33,K22,4.83989,.256,
34,K35,4.84092,.249,
35,K34,4.83942,.250,
36,K23,4.83977,.251,
37,K24,4.84127,.251,
38,K33,4.84124,.249,
39,K32,4.84213,.251,
40,K25,4.84307,.251,
41,K26,4.84111,.251,
42,K31,4.84334,.249,
43,K30,4.84195,.251,
44,K27,4.84193,.251,
45,K28,4.84175,.251,
46,K29,4.84187,.250,
47,R4,4.29366,.250,
48,R1,4.32560,.249,
49,K13,4.83500,.250,
50,R3,4.32132,.250,
51,R6,4.32182,.250,
52,K36,4.84001,.249,
53,R5,4.30236,.250,
54,R2,4.30847,.250,
55,Y1,5.17995,.250,
56,Y4,5.23120,.252,
57,Y3,5.18413,.252,
58,Y2,5.18494,.251,
59,S4,4.83814,.250,
60,S3,4.83657,.251,
61,T1,5.02382,.258,
62,T4,4.60947,.251,
63,T3,4.89396,.251,
64,T2,5.01104,.251,
65,U3,4.86768,.252,
66,U2,4.87266,.252,
67,U1,4.87345,.254,
68,U4,4.86291,.252,
69,S2,4.84192,.250,
70,G8,4.86598,.244,
71,J6,4.86031,.246,
72,H1,5.34979,.246,
73,H2,5.35025,.246,
74,G1,4.87125,.245,
75,G2,4.58718,.244,
76,G3,4.56036,.244,
77,G4,4.87777,.245,
78,G5,4.87555,.244,
79,G6,4.87156,.244,
80,G7,4.86835,.245,
81,J5,4.85824,.246,
82,G9,4.86454,.245,
83,G10,4.88769,.247,
84,G11,4.87419,.245,
85,J4,4.86433,.248,
86,G12,4.88278,.247,
87,G13,4.87655,.245,
88,G14,4.87815,.248,
89,G15,4.86574,.248,
90,G16,4.87913,.244,
91,J3,4.86420,.245,
92,G17,4.87089,.242,
93,G18,4.87064,.243,
94,G19,4.87241,.242,
95,J2,4.87780,.244,
96,G20,4.87170,.244,
97,G21,4.88955,.242,
98,G22,4.86527,.243,
99,G23,4.12252,.245,
100,J1,4.86448,.241,
101,G25,4.73573,.239,
102,J10,4.86887,.242,
103,J9,4.87771,.245,
104,J8,4.87865,.247,
105,J7,4.88844,.248,
106,AB2,4.63798,.241,
107,AB1,4.68795,.247,
108,AB5,4.60408,.243,
109,AB4,4.65696,.244,
110,AB3,4.62282,.245,
111,AB6,4.54731,.245,
112,AB8,4.63886,.247,
113,AB7,4.59234,.249,
114,G31,4.53460,.242,
115,G30,4.41679,.242,
116,G29,4.45077,.244,
117,G28,4.76311,.243,
118,G26,4.87296,.243,
119,A2,4.58597,.249,
120,A1,4.68259,.254,
121,A5,4.54093,.247,
122,A4,4.52763,.249,
123,A3,4.64239,.251,
124,A6,4.60009,.251,
125,A8,4.67954,.248,
126,A7,4.56241,.256,
127,N06,4.01350,.257,
128,KB9,4.90758,.243,
129,KB7,4.89882,.244,
130,S1,4.83989,.250,
131,TB1,4.80532,.245,
132,TB2,4.82910,.245,
133,TB3,4.64839,.244,
134,TB4,4.86419,.246,
135,UB4,4.85909,.246,
136,UB2,4.83157,.246,
137,UB1,4.81407,.253,
138,UB3,4.82393,.245,
139,YB4,5.18647,.247,
140,YB3,5.19011,.247,
141,YB2,5.19331,.247,
142,YB1,5.19463,.246,
143,KB20,4.90856,.244,
144,KB1,4.91067,.244,
145,KB19,4.90781,.245,
146,RB3,4.32711,.245,
147,RB6,4.33103,.244,
148,KB3,4.90501,.245,
149,KB4,4.89725,.244,
150,KB17,4.90144,.245,
151,KB5,4.90271,.245,
152,KB6,4.90160,.243,
153,KB14,4.90425,.244,
154,KB15,4.90080,.244,
155,RB2,4.30626,.243,
156,RB5,4.31047,.243,
157,KB25,4.83579,.244,
158,KB32,4.84592,.243,
159,KB31,4.84709,.243,
160,KB24,4.84191,.244,
161,KB33,4.84661,.245,
162,KB34,4.84123,.244,
163,KB23,4.83016,.245,
164,KB22,4.82890,.246,
165,KB35,4.83827,.245,
166,KB36,4.84274,.244,
167,KB21,4.83346,.246,
168,KB26,4.83759,.245,
169,KB27,4.83597,.245,
170,KB30,4.84199,.244,
171,KB29,4.83592,.244,
172,KB28,4.84270,.245,
173,RB4,4.32591,.243,
174,RB1,4.31804,.244,
175,KB12,4.91157,.247,
176,KB10,4.90816,.243,
177,KB11,4.90828,.245,
178,KB13,4.90375,.247,
179,KB8,4.90358,.245,
180,HB2,4.82301,.243,
181,HB1,4.82012,.243,
182,SB4,4.82596,.248,
183,SB1,4.84904,.249,
184,SB2,4.71196,.246,
185,SB3,4.82186,.244,
186,CB3,4.87988,.244,
187,CB2,4.93032,.246,
188,CB1,4.92733,.248,
189,FB1,4.71041,.247,
190,FB4,4.65254,.249,
191,FB3,4.67313,.247,
192,FB2,4.52540,.247,
193,NB3,4.71748,.254,
194,NB2,4.61470,.247,
195,NB1,4.58990,.246,
196,NB7,4.60919,.253,
197,NB6,4.59428,.252,
198,NB5,4.96786,.245,
199,NB4,4.64152,.247,
200,CB6,4.91955,.248,
201,CB5,4.90730,.248,
202,CB4,4.89028,.247,
203,N4,5.39835,.254,
204,N3,5.38914,.253,
205,N2,5.42257,.247,
206,N1,5.42331,.252,
207,F4,4.57822,.247,
208,F1,4.60536,.249,
209,F3,4.58632,.247,
210,F2,4.67262,.249,
211,C1,4.78283,.254,
212,C2,4.83465,.256,
213,C3,4.80130,.256,
214,C4,4.68352,.255,
215,C5,4.83841,.255,
216,C6,4.69041,.253,
217,H4,5.33242,.247,
218,H3,5.35347,.247,
219,HB4,4.81650,.243,
220,HB3,4.82319,.244,
221,Z5,4.65864,.246,
222,Z4,4.61486,.246,
223,Z3,4.63708,.246,
224,Z2,4.63402,.246,
225,Z1,4.62656,.245,
226,Z10,4.64326,.248,
227,Z9,4.85617,.249,
228,Z8,4.87862,.249,
229,Z7,4.89454,.249,
230,Z6,4.82790,.248,
231,E7,4.83359,.261,
232,E8,4.86241,.261,
233,E5,4.83707,.260,
234,E4,4.85624,.261,
235,E9,4.85929,.263,
236,E10,4.86760,.265,
237,E3,4.88194,.268,
238,E2,4.84634,.269,
239,E11,4.86662,.271,
240,E12,4.86732,.273,
241,E1,4.86805,.275,
242,KB18,5.03239,.245,
243,KB2,5.02855,.245,
244,KB16,5.03499,.244,
245,G27,4.41755,.244,
246,G24,6.49450,.239,
247,N103,3.93101,.243,
248,ST8,4.31982,.239,
249,N102,3.91988,.238,
250,W13,4.44141,.230,
251,W4,4.43662,.231,
252,W14,4.43882,.231,
253,W15,4.45165,.231,
254,W16,4.44875,.231,
255,W1,4.42872,.231,
256,W5,4.43426,.230,
257,W6,4.44184,.230,
258,W7,4.43142,.229,
259,W2,4.45159,.227,
260,V4,4.46713,.224,
261,V14,4.46236,.225,
262,V15,4.46149,.225,
263,V16,4.45022,.225,
264,V1,4.48290,.225,
265,V5,4.48632,.224,
266,V6,4.46424,.223,
267,V7,4.46702,.222,
268,V2,4.46265,.221,
269,V9,4.45384,.221,
270,V10,4.45168,.223,
271,V3,4.46524,.223,
272,V11,4.45283,.224,
273,V12,4.45611,.225,
274,V13,4.46661,.225,
275,W8,4.45756,.228,
276,W9,4.44391,.229,
277,W10,4.45382,.229,
278,W11,4.44309,.230,
279,W12,4.44755,.230,
280,E6,4.87279,.261,
281,W3,4.45029,.230,

